,AAPL,MSFT,AMZN,BRK-A,JPM,JNJ,WMT,BAC,PG,XOM
2008-12-20,11.18701457977295,14.704493522644043,51.560001373291016,96540.0,23.1357364654541,42.11893081665039,42.562679290771484,12.34107494354248,42.582496643066406,53.07195281982422
2008-12-21,11.18701457977295,14.704493522644043,51.560001373291016,96540.0,23.1357364654541,42.11893081665039,42.562679290771484,12.34107494354248,42.582496643066406,53.07195281982422
2008-12-22,10.657491683959961,14.750624656677246,49.84000015258789,94500.0,22.75421714782715,42.183349609375,42.75358200073242,12.099613189697266,42.78062057495117,52.994136810302734
2008-12-23,10.737046241760254,14.827532768249512,51.08000183105469,96900.0,22.212446212768555,42.004398345947266,42.219058990478516,11.402076721191406,42.334835052490234,53.128543853759766
2008-12-24,10.57048225402832,14.742938995361328,51.439998626708984,94000.0,22.777111053466797,41.91850662231445,42.33359909057617,12.099613189697266,42.73109817504883,53.609615325927734
2008-12-25,10.57048225402832,14.742938995361328,51.439998626708984,94000.0,22.777111053466797,41.91850662231445,42.33359909057617,12.099613189697266,42.73109817504883,53.609615325927734
2008-12-26,10.666194915771484,14.712178230285645,51.779998779296875,93400.0,22.738962173461914,41.91850662231445,42.264888763427734,11.947590827941895,42.83015060424805,54.607078552246094
2008-12-27,10.666194915771484,14.712178230285645,51.779998779296875,93400.0,22.738962173461914,41.91850662231445,42.264888763427734,11.947590827941895,42.83015060424805,54.607078552246094
2008-12-28,10.666194915771484,14.712178230285645,51.779998779296875,93400.0,22.738962173461914,41.91850662231445,42.264888763427734,11.947590827941895,42.83015060424805,54.607078552246094
2008-12-29,10.765633583068848,14.581436157226562,49.400001525878906,92590.0,22.723697662353516,41.625003814697266,42.08161544799805,11.571993827819824,42.596649169921875,55.194271087646484
2008-12-30,10.725861549377441,14.873686790466309,50.7599983215332,92000.0,23.662248611450195,42.35514450073242,42.03581237792969,11.840274810791016,43.24763870239258,55.59750747680664
2008-12-31,10.609017372131348,14.950587272644043,51.279998779296875,96600.0,24.059032440185547,42.82759475708008,42.80703353881836,12.591474533081055,43.74293518066406,56.47473907470703
2009-01-01,10.609017372131348,14.950587272644043,51.279998779296875,96600.0,24.059032440185547,42.82759475708008,42.80703353881836,12.591474533081055,43.74293518066406,56.47473907470703
2009-01-02,11.280237197875977,15.635054588317871,54.36000061035156,99990.0,24.21350860595703,43.414573669433594,43.66226577758789,12.815037727355957,44.436378479003906,57.75520706176758
2009-01-03,11.280237197875977,15.635054588317871,54.36000061035156,99990.0,24.21350860595703,43.414573669433594,43.66226577758789,12.815037727355957,44.436378479003906,57.75520706176758
2009-01-04,11.280237197875977,15.635054588317871,54.36000061035156,99990.0,24.21350860595703,43.414573669433594,43.66226577758789,12.815037727355957,44.436378479003906,57.75520706176758
2009-01-05,11.756305694580078,15.781174659729004,54.060001373291016,102600.0,22.591550827026367,42.985069274902344,43.158302307128906,12.502044677734375,44.11796569824219,57.74811935424805
2009-01-06,11.562398910522461,15.965749740600586,57.36000061035156,100090.0,23.078136444091797,42.727378845214844,42.776493072509766,12.770326614379883,43.990596771240234,56.80722427368164
2009-01-07,11.312555313110352,15.004425048828125,56.20000076293945,96490.0,21.695606231689453,42.32651901245117,42.40996170043945,12.260587692260742,43.219329833984375,55.35698699951172
2009-01-08,11.52262020111084,15.473546981811523,57.15999984741211,98700.0,21.02365493774414,42.24776840209961,39.23342514038086,12.108559608459473,42.74525451660156,55.95124053955078
2009-01-09,11.25910758972168,15.01210880279541,55.5099983215332,94750.0,20.058204650878906,42.269264221191406,39.386138916015625,11.616705894470215,42.35606384277344,54.87591552734375
2009-01-10,11.25910758972168,15.01210880279541,55.5099983215332,94750.0,20.058204650878906,42.269264221191406,39.386138916015625,11.616705894470215,42.35606384277344,54.87591552734375
2009-01-11,11.25910758972168,15.01210880279541,55.5099983215332,94750.0,20.058204650878906,42.269264221191406,39.386138916015625,11.616705894470215,42.35606384277344,54.87591552734375
2009-01-12,11.0204496383667,14.97365951538086,51.91999816894531,94324.0,19.239503860473633,41.76102066040039,39.241058349609375,10.221627235412598,42.41267776489258,54.14726638793945
2009-01-13,10.902366638183594,15.24283218383789,51.45000076293945,95300.0,20.351707458496094,42.11893081665039,39.79847717285156,9.524084091186523,42.08012390136719,55.123504638671875
2009-01-14,10.606528282165527,14.681418418884277,48.4900016784668,93150.0,20.01186752319336,41.481842041015625,39.37086486816406,9.121664047241211,40.94089889526367,53.128543853759766
2009-01-15,10.364144325256348,14.796769142150879,51.439998626708984,92900.0,18.79925537109375,41.2456169128418,39.21050262451172,7.440413475036621,40.657867431640625,54.23215103149414
2009-01-16,10.233630180358887,15.158235549926758,51.59000015258789,90660.0,17.625274658203125,41.11677551269531,39.37086486816406,6.420935153961182,40.84892654418945,55.25086212158203
2009-01-17,10.233630180358887,15.158235549926758,51.59000015258789,90660.0,17.625274658203125,41.11677551269531,39.37086486816406,6.420935153961182,40.84892654418945,55.25086212158203
2009-01-18,10.233630180358887,15.158235549926758,51.59000015258789,90660.0,17.625274658203125,41.11677551269531,39.37086486816406,6.420935153961182,40.84892654418945,55.25086212158203
2009-01-19,10.233630180358887,15.158235549926758,51.59000015258789,90660.0,17.625274658203125,41.11677551269531,39.37086486816406,6.420935153961182,40.84892654418945,55.25086212158203
2009-01-20,9.720270156860352,14.21229076385498,48.439998626708984,86250.0,13.972004890441895,40.62285232543945,38.60728454589844,4.5608320236206055,40.636634826660156,53.97041320800781
2009-01-21,10.295780181884766,14.90444564819336,50.540000915527344,88350.0,17.478525161743164,40.343692779541016,37.522979736328125,5.973795413970947,41.02141189575195,56.071502685546875
2009-01-22,10.983160972595215,13.158671379089355,49.939998626708984,88800.0,17.841535568237305,40.70875549316406,37.31679916381836,5.106342315673828,40.58675765991211,55.34284210205078
2009-01-23,10.983160972595215,13.227885246276855,50.630001068115234,86250.0,18.75292205810547,40.06452941894531,36.91972732543945,5.580311298370361,39.902706146240234,55.20842742919922
2009-01-24,10.983160972595215,13.227885246276855,50.630001068115234,86250.0,18.75292205810547,40.06452941894531,36.91972732543945,5.580311298370361,39.902706146240234,55.20842742919922
2009-01-25,10.983160972595215,13.227885246276855,50.630001068115234,86250.0,18.75292205810547,40.06452941894531,36.91972732543945,5.580311298370361,39.902706146240234,55.20842742919922
2009-01-26,11.142265319824219,13.558577537536621,49.630001068115234,85001.0,18.922834396362305,40.47970199584961,37.110633850097656,5.365684509277344,40.166358947753906,55.60459899902344
