,AAPL,MSFT,AMZN,BRK-A,JPM,JNJ,WMT,BAC,PG,XOM
2017-04-21,136.49459838867188,63.295692443847656,898.530029296875,245550.0,78.71851348876953,113.1183624267578,70.45564270019531,21.53023338317871,81.9990463256836,71.8778076171875
2017-04-22,136.49459838867188,63.295692443847656,898.530029296875,245550.0,78.71851348876953,113.1183624267578,70.45564270019531,21.53023338317871,81.9990463256836,71.8778076171875
2017-04-23,136.49459838867188,63.295692443847656,898.530029296875,245550.0,78.71851348876953,113.1183624267578,70.45564270019531,21.53023338317871,81.9990463256836,71.8778076171875
2017-04-24,137.80900573730472,64.37285614013672,907.4099731445312,248850.0,81.49398040771484,114.1681671142578,70.30521392822266,22.402442932128906,82.85955047607422,72.25194549560547
2017-04-25,138.66285705566406,64.74464416503906,907.6199951171876,251231.0,82.20181274414062,114.66983795166016,70.55905151367188,22.73426055908203,83.27593994140625,72.80422973632812
2017-04-26,137.84735107421878,64.65883636474611,909.2899780273438,251351.0,82.36013793945312,114.74417114257812,70.91630554199219,22.648935317993164,81.18478393554688,72.51026916503906
2017-04-27,137.95286560058594,65.07825469970703,918.3800048828124,249950.0,81.59642791748047,114.95783996582031,70.92571258544922,22.42140388488769,81.13851928710938,72.38555908203125
2017-04-28,137.81855773925778,65.25936126708984,924.989990234375,247780.0,81.02828979492188,114.7070083618164,70.6812744140625,22.12750816345215,80.80543518066406,72.73297119140625
2017-04-29,137.81855773925778,65.25936126708984,924.989990234375,247780.0,81.02828979492188,114.7070083618164,70.6812744140625,22.12750816345215,80.80543518066406,72.73297119140625
2017-04-30,137.81855773925778,65.25936126708984,924.989990234375,247780.0,81.02828979492188,114.7070083618164,70.6812744140625,22.12750816345215,80.80543518066406,72.73297119140625
2017-05-01,140.629638671875,66.16497039794922,948.22998046875,248270.0,81.08418273925781,114.5862274169922,70.72827911376953,22.383485794067386,80.58334350585938,73.09818267822266
2017-05-02,141.5218963623047,66.06010437011719,946.9400024414062,249010.0,80.56261444091797,114.92066955566406,71.00092315673828,22.30763816833496,79.77835845947266,73.08928680419922
2017-05-03,141.09014892578125,65.85040283203125,941.030029296875,250000.0,81.02828979492188,114.5769500732422,71.2265625,22.53516960144043,79.97265625,73.66829681396484
2017-05-04,140.58164978027344,65.593017578125,937.530029296875,249540.0,81.12142944335938,115.1529312133789,71.77185821533203,22.611013412475586,79.99117279052734,72.72406768798828
2017-05-05,142.9130096435547,65.77413177490234,934.1500244140624,250000.0,81.02828979492188,114.74417114257812,71.92229461669922,22.50672912597656,80.03743743896484,73.06254577636719
2017-05-06,142.9130096435547,65.77413177490234,934.1500244140624,250000.0,81.02828979492188,114.74417114257812,71.92229461669922,22.50672912597656,80.03743743896484,73.06254577636719
2017-05-07,142.9130096435547,65.77413177490234,934.1500244140624,250000.0,81.02828979492188,114.74417114257812,71.92229461669922,22.50672912597656,80.03743743896484,73.06254577636719
